,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0,0001_01,Europa,FALSE,B/0/P,TRAPPIST-1e,39,FALSE,0,0,0,0,0,Maham Ofracculy,FALSE
1,0002_01,Earth,FALSE,F/0/S,TRAPPIST-1e,24,FALSE,109,9,25,549,44,Juanna Vines,TRUE
2,0003_01,Europa,FALSE,A/0/S,TRAPPIST-1e,58,TRUE,43,3576,0,6715,49,Altark Susent,FALSE
3,0003_02,Europa,FALSE,A/0/S,TRAPPIST-1e,33,FALSE,0,1283,371,3329,193,Solam Susent,FALSE
4,0004_01,Earth,FALSE,F/1/S,TRAPPIST-1e,16,FALSE,303,70,151,565,2,Willy Santantines,TRUE
5,0005_01,Earth,FALSE,F/0/P,PSO J318.5-22,44,FALSE,0,483,0,291,0,Sandie Hinetthews,TRUE
6,0006_01,Earth,FALSE,F/2/S,TRAPPIST-1e,26,FALSE,42,1539,3,0,0,Billex Jacostaffey,TRUE
8,0007_01,Earth,FALSE,F/3/S,TRAPPIST-1e,35,FALSE,0,785,17,216,0,Andona Beston,TRUE
9,0008_01,Europa,TRUE,B/1/P,55 Cancri e,14,FALSE,0,0,0,0,0,Erraiam Flatic,TRUE
11,0008_03,Europa,FALSE,B/1/P,55 Cancri e,45,FALSE,39,7295,589,110,124,Wezena Flatic,TRUE
12,0009_01,Mars,FALSE,F/1/P,TRAPPIST-1e,32,FALSE,73,0,1123,0,113,Berers Barne,TRUE
13,0010_01,Earth,FALSE,G/1/S,TRAPPIST-1e,48,FALSE,719,1,65,0,24,Reney Baketton,FALSE
14,0011_01,Earth,FALSE,F/2/P,TRAPPIST-1e,28,FALSE,8,974,12,2,7,Elle Bertsontry,TRUE
17,0015_01,Earth,FALSE,F/4/P,55 Cancri e,24,FALSE,0,1,0,0,637,Carry Hughriend,FALSE
18,0016_01,Mars,TRUE,F/5/P,TRAPPIST-1e,45,FALSE,0,0,0,0,0,Alus Upead,TRUE
19,0017_01,Earth,FALSE,G/0/P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Lyde Brighttt,TRUE
20,0017_02,Earth,FALSE,F/6/P,55 Cancri e,14,FALSE,412,0,1,0,679,Philda Brighttt,FALSE
21,0020_01,Earth,TRUE,E/0/S,TRAPPIST-1e,1,FALSE,0,0,0,0,0,Almary Brantuarez,FALSE
22,0020_02,Earth,TRUE,E/0/S,55 Cancri e,49,FALSE,0,0,0,0,0,Glendy Brantuarez,FALSE
24,0020_04,Earth,FALSE,E/0/S,TRAPPIST-1e,10,FALSE,0,0,0,0,0,Breney Jacostanley,TRUE
26,0020_06,Earth,FALSE,E/0/S,TRAPPIST-1e,7,FALSE,0,0,0,0,0,Terta Mcfaddennon,FALSE
29,0025_01,Earth,FALSE,F/6/S,TRAPPIST-1e,15,FALSE,0,225,0,998,0,Karard Brookenson,FALSE
30,0026_01,Europa,FALSE,C/0/P,55 Cancri e,34,FALSE,22,6073,0,1438,328,Anyoni Unconary,FALSE
31,0028_01,Mars,FALSE,F/8/P,TRAPPIST-1e,43,FALSE,1125,0,136,48,0,Ceros Mare,FALSE
32,0030_01,Earth,FALSE,G/4/S,TRAPPIST-1e,32,FALSE,0,850,81,437,453,Ginia Morsentley,FALSE
33,0031_01,Mars,FALSE,F/9/P,TRAPPIST-1e,47,FALSE,214,0,1411,0,1229,Coobix Datie,TRUE
34,0031_02,Mars,FALSE,F/9/P,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Cinets Datie,TRUE
36,0034_01,Europa,TRUE,D/1/S,55 Cancri e,28,FALSE,0,0,0,0,0,Ziba Oingwhedly,TRUE
37,0035_01,Mars,FALSE,D/1/P,55 Cancri e,23,FALSE,784,964,0,951,0,Luse Butte,FALSE
39,0038_01,Earth,FALSE,F/10/S,55 Cancri e,20,FALSE,554,195,0,2606,0,Loise Wheelez,FALSE
41,0041_01,Earth,TRUE,G/2/P,TRAPPIST-1e,17,FALSE,0,0,0,0,0,Margia Moodsey,TRUE
42,0043_01,Europa,FALSE,B/3/P,TRAPPIST-1e,45,FALSE,0,164,45,2511,855,Ankalik Cylistrand,FALSE
43,0044_01,Earth,TRUE,G/3/P,TRAPPIST-1e,55,FALSE,0,0,0,0,0,Jodye Coopelandez,FALSE
44,0044_02,Earth,TRUE,G/3/P,55 Cancri e,4,FALSE,0,0,0,0,0,Kayne Coopelandez,TRUE
45,0044_03,Earth,TRUE,G/3/P,PSO J318.5-22,21,FALSE,0,0,0,0,0,Cassa Coopelandez,TRUE
46,0045_01,Mars,FALSE,F/10/P,TRAPPIST-1e,21,FALSE,970,0,180,0,64,Zelowl Chmad,FALSE
49,0051_01,Earth,FALSE,E/2/S,TRAPPIST-1e,56,FALSE,0,112,0,1379,127,Vivia Johnshines,FALSE
51,0053_01,Earth,FALSE,F/11/S,TRAPPIST-1e,25,FALSE,0,0,1938,0,1,Elson Hickerson,TRUE
52,0056_01,Europa,FALSE,A/1/S,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Okulas Tractive,TRUE
53,0056_02,Europa,TRUE,A/1/S,TRAPPIST-1e,38,FALSE,0,0,0,0,0,Instab Tractive,TRUE
54,0056_03,Europa,FALSE,A/1/S,TRAPPIST-1e,27,FALSE,279,605,3374,286,3,Zinoces Tractive,TRUE
55,0058_01,Earth,TRUE,G/7/S,PSO J318.5-22,36,FALSE,0,0,0,0,0,Warry Ayalazquez,FALSE
56,0061_01,Earth,FALSE,F/12/S,TRAPPIST-1e,22,FALSE,45,1096,148,1377,1,Shanya Salez,FALSE
57,0062_01,Earth,FALSE,F/13/S,TRAPPIST-1e,62,FALSE,0,592,0,17,25,Sterry Greeves,FALSE
60,0066_01,Earth,FALSE,G/6/P,TRAPPIST-1e,62,FALSE,1,153,197,0,460,Diandy Pecketton,FALSE
61,0067_01,Earth,TRUE,G/10/S,PSO J318.5-22,0,FALSE,0,0,0,0,0,Ninaha Leeves,TRUE
62,0067_02,Earth,FALSE,G/10/S,TRAPPIST-1e,18,FALSE,1,258,446,0,0,Celine Leeves,TRUE
63,0067_03,Earth,FALSE,F/15/S,55 Cancri e,21,FALSE,1946,37,0,0,24,Velyne Leeves,FALSE
66,0070_01,Earth,FALSE,F/13/P,TRAPPIST-1e,19,FALSE,190,0,5,1,726,Meremy Brighttt,FALSE
67,0071_01,Earth,FALSE,F/14/P,TRAPPIST-1e,17,FALSE,16,2165,0,0,52,Nelly Dillines,FALSE
68,0072_01,Earth,FALSE,F/17/S,TRAPPIST-1e,14,FALSE,0,1,0,0,1063,Thell Brantuarez,FALSE
69,0073_01,Mars,FALSE,D/3/P,PSO J318.5-22,37,FALSE,46,83,738,0,12,Gorn Make,FALSE
